Name,Dirct1,Prodc1,Distributor,Cinematographer1,Actor1,Actor2,Actor3,Actor4,Actor5,Genre,us.year,us.quarter,domestic_bo,budget_nielsen,budget_numbers,director_imm,director_continent,director_country,director_gender,director_race,international_bo,topstar,Release_year,cluster_tfidf_first,cluster_tfidf_second,cluster_lda_major_first,cluster_lda_major_second,cluster_lda_major_second_finer
Brokedown Palace,Jonathan Kaplan,Adam Fields,20th Century Fox,Newton Thomas Sigel,Claire Danes,Kate Beckinsale,Bill Pullman,Jacqueline Kim,Lou Diamond Phillips,Drama,1999,,10114315.0,25300000.0,,Native-born,North America (US),US,,,,1,1999,20,2,16,18,2
Broken Vessels,Scott Ziehl,Scott Ziehl,Unapix Films,Antonio Calvache,Todd Field,Jason London,Roxana Zal,Susan Traylor,James Hong,Drama,1999,,13493.0,600000.0,,Native-born,North America (US),US,,,,0,1998,3,14,2,6,16
Chill Factor,Hugh Johnson,James G. Robinson,Warner Bros.,David Gribble,Cuba Gooding Jr.,Skeet Ulrich,Peter Firth,David Paymer,Hudson Leick,Action,1999,,11227940.0,41800000.0,,,,,,,,1,1999,6,20,11,0,2
Cradle Will Rock,Tim Robbins,Jon Kilik,Walt Disney,Jean-Yves Escoffier,Hank Azaria,John Cusack,Cary Elwes,Angus MacFadyen,Susan Sarandon,Adaptation,1999,,2899970.0,41250000.0,32000000.0,Native-born,North America (US),US,,,,1,1999,8,8,16,18,2
Crazy in Alabama,Antonio Banderas,Debra Hill,Sony Pictures,Julio Macat,Melanie Griffith,David Morse,Lucas Black,Cathy Moriarty,Meat Loaf,Adaptation,1999,,1954202.0,28600000.0,,,,,,,,1,1999,5,4,17,22,2
Cruel Intentions,Roger Kumble,Neal H. Moritz,Sony Pictures,Theo van de Sande,Sarah Michelle Gellar,Ryan Phillippe,Reese Witherspoon,Selma Blair,Louise Fletcher,Drama,1999,,38637080.0,19800000.0,11000000.0,Native-born,North America (US),US,Male,Caucasian,37573641.0,1,1999,21,3,11,6,37
Deep Blue Sea,Renny Harlin,Alan Riche,Warner Bros.,Stephen F. Windon),,,,,,Action,1999,,73648142.0,82500000.0,60000000.0,Foreign-born,Europe,Finland,Male,Caucasian,91400000.0,0,1999,6,4,1,20,2
Defying Gravity,John Keitel,David Clayton Miller,Jour De Fete,Thomas Harting,Daniel Chilson,Niklaus Lange,Don Handfield,Linna Carter,Seabass Diamond,Drama,1999,,12434.0,60000.0,,,,,,,,0,1997,18,10,18,18,32
Desert Blue,Morgan J. Freeman,Andrea Sperling,Samuel Goldwyn Company,Enrique Chediak,Brendan Sexton III,Kate Hudson,John Heard,Christina Ricci,Casey Affleck,Comedy,1999,,99147.0,4500000.0,,Native-born,North America (US),US,,,,1,1998,4,11,18,19,17
Detroit Rock City,Adam Rifkin,Gene Simmons,New Line Cinema,John R. Leonetti,Giuseppe Andrews,James Debello,Edward Furlong,Sam Huntington,Lin Shaye,Comedy,1999,,4193025.0,20350000.0,16000000.0,Native-born,North America (US),US,Male,Caucasian,1608199.0,0,1999,15,9,6,18,2
Deuce Bigalow: Male Gigolo,Mike Mitchell,Sid Ganis,Walt Disney,Peter Collister),Rob Schneider,William Forsythe,Eddie Griffin,Arija Bareikis,Oded Fehr,Comedy,1999,,65535067.0,9350000.0,18000000.0,Native-born,North America (US),US,Male,,27400000.0,1,1999,13,18,11,18,2
Dick,Andrew Fleming,Gale Anne Hurd,Sony Pictures,Alexander Gruszynski,Kirsten Dunst,Michelle Williams,Dan Hedaya,Will Ferrell,Bruce McCulloch,Comedy,1999,,6241697.0,11000000.0,13000000.0,Native-born,North America (US),US,Male,,,1,1999,18,10,16,18,2
Dogma,Kevin Smith,Scott Mosier,Lionsgate,Robert Yeoman,Ben Affleck,Matt Damon,Linda Fiorentino,Salma Hayek,Chris Rock,Comedy,1999,,30651422.0,13000000.0,10000000.0,Native-born,North America (US),US,Male,Caucasian,13297443.0,1,1999,6,20,16,4,2
Double Jeopardy,Bruce Beresford,Leonard Goldberg,Paramount Pictures,Peter James,Tommy Lee Jones,Ashley Judd,Benjamin Weir,Jay Brazeau,Bruce Greenwood,Action,1999,,116735231.0,51700000.0,40000000.0,Foreign-born,Oceania,Australia,Male,Caucasian,61100000.0,1,1999,16,6,20,18,2
Drop Dead Gorgeous,Michael Patrick Jann,Gavin Polone,New Line Cinema,Michael Spiller,Kirsten Dunst,Ellen Barkin,Allison Janney,Denise Richards,Kirstie Alley,Crime,1999,,10561238.0,9900000.0,10000000.0,Native-born,North America (US),US,,,,1,1999,15,4,16,18,2
Dudley Do-Right,Hugh Wilson,Joseph M Singer,Universal,Donald E. Thorin,Brendan Fraser,Sarah Jessica Parker,Alfred Molina,Eric Idle,Robert Prosky,Adaptation,1999,,9818792.0,41800000.0,,Native-born,North America (US),US,,,,1,1999,19,13,13,5,2
Edge of Seventeen,David Moreton,David Moreton,Strand Releasing,Gina DeGirolamo,Chris Stafford,Tina Holmes,Andersen Gabrych,Stephanie McVay,Lea DeLaria,Comedy,1999,,870751.0,500000.0,,,,,,,,0,1998,0,17,21,18,2
Election,Alexander Payne,Albert Berger,Paramount Pictures,Jim Glennon,Matthew Broderick,Reese Witherspoon,Chris Klein,Jessica Campbell,Mark Harelik,Comedy,1999,,14879556.0,8000000.0,,Native-born,North America (US),US,Male,Caucasian,,1,1999,1,15,6,18,2
End of Days,Peter Hyams,Armyan Bernstein,Universal,Peter Hyams,Arnold Schwarzenegger,Gabriel Byrne,Arcieri & Associates,Inc.),Kevin Pollak,Action,1999,,66862068.0,126500000.0,100000000.0,,,,,,145137932.0,1,1999,6,20,7,18,2
Entropy,Phil Joanou,Phil Joanou,,Carolyn Chen,Stephen Dorff,Lauren Holly,Judith Godrèche,Kelly Macdonald,Jim Gaffigan,Comedy,1999,,,,,Native-born,North America (US),US,Male,Caucasian,,0,1999,11,12,0,16,18
Eyes Wide Shut,Stanley Kubrick,Stanley Kubrick,Warner Bros.,Patrick Turley,Tom Cruise,Nicole Kidman,Sydney Pollack,Marie Richardson,Rade Serbedzija,Adaptation,1999,,55673006.0,77000000.0,65000000.0,Native-born,North America (US),US,,,48573409.0,1,1999,0,17,6,18,30
Fight Club,David Fincher,Art Linson,20th Century Fox,Jeff Cronenweth,Edward Norton,Brad Pitt,Meat Loaf,Greene & Associates Talent Agency),Zach Grenier,Drama,1999,,37023395.0,71500000.0,65000000.0,Native-born,North America (US),US,,,63804388.0,1,1999,17,1,8,18,2
