Name,Dirct1,Prodc1,Distributor,Cinematographer1,Actor1,Actor2,Actor3,Actor4,Actor5,Genre,us.year,us.quarter,domestic_bo,budget_nielsen,budget_numbers,director_imm,director_continent,director_country,director_gender,director_race,international_bo,topstar
Contra Conspiracy,Tom Deweir,Ronald L Gilchrist,,Voya Mikulic,Michael Williams,Tom Mahler,Blake Bahner,Robert Beal,Vickie Stephenson,Action,1990,,,,,,,,,,,0
Cool Blue,Richard Shepard,Lionel Wigram,,David H Sperling,Woody Harrelson,Ely Pouget,Hank Azaria,Gloria Le Roy,,Comedy,1990,,,,,Native-born,North America (US),US,Male,Caucasian,,1
Corporate Affairs,Terence H Winkless,Julie Corman,Concorde Productions,Richard Gale,Peter Scolari,Mary Crosby,Richard Herd,Ken Kercheval,Chris Lemmon,Comedy,1990,,,4000000.0,,,,,,,,0
Coupe de Ville,Joe Roth,Larry Brezner,Universal,Reynaldo Villalobos,Alan Arkin,Joseph Bologna,Annabeth Gish,Daniel Stern,Patrick Dempsey,Comedy,1990,,592089.0,11000000.0,,Native-born,North America (US),US,,,,1
Courage Mountain,Christopher Leitch,Stephen Ujlaki,Columbia-Triumph Films,Jacques Steyn,Juliette Caton,Charlie Sheen,Leslie Caron,Yorgo Voyagis,Laura Betti,Adaptation,1990,,1263739.0,9000000.0,,,,,,,,1
Crazy People,Tony Bill,Thomas Barad,Paramount Pictures,Victor J Kemper,Dudley Moore,Daryl Hannah,Paul Reiser,J.T. Walsh,Bill Smitrovich,Comedy,1990,,12725925.0,22000000.0,,,,,,,,1
Crime Lords,Wayne Crawford,Arthur Payne,,Hans Kuhle,Wayne Crawford,Martin Hewitt,Susan Byun,James Hong,Mike Morrison,Action,1991,,,,,Native-born,North America (US),US,,,,0
Cry Baby,John Waters,,Universal,David Insley,Johnny Depp,Amy Locane,Susan Tyrrell,Polly Bergen,Iggy Pop),Comedy,1990,,7463270.0,10000000.0,,,,,,,,1
Crystal Force,Laura Keats,Craig Thurman Suttle,,,Katherine Bacall,John Marlo,Jan Marlyn,Kay Malikian,,Action,1990,,,,,,,,,,,0
Current Events,Ralph Arlyck,Ralph Arlyck,New Day Films,Ralph Arlyck,,,,,,Documentary,1990,,,,,Native-born,North America (US),US,,,,0
Curse of the Blue Lights,John Henry Johnson,John Henry Johnson,,John Henry Johnson,Brent Ritter,Bettina Julius,Patrick Keller,Deborah DeVencenty,Clayton A McCaw,Horror,1990,,,,,,,,,,,0
Daddy's Dyin'... Who's Got the Will?,Jack Fisk,Joni Sighvatsson,MGM,Paul Elliott,Judge Reinhold,Beverly D'Angelo,Beau Bridges,Tess Harper,Amy Wright,Adaptation,1990,,1169941.0,4000000.0,,,,,,,,0
Dance,Robin Murray,Robert J Wilson,,Chuy Elizondo,Patrick Swayze,Johan Renvall,Ellen Troy,Carlton Wilborn,Charlene Campbell,Drama,1990,,,,,,,,,,,1
Dance Macabre,Greydon Clark,Menahem Golan,,,Robert Englund,Michelle Zeitlin,Alexander Sergeyev,Irena Davidoff,Nina Goldman,Horror,1991,,,8000000.0,,Native-born,North America (US),US,,,,0
Dance With Death,Charles Philip Moore,Mike Elliott,,Bill Molina,Maxwell Caulfield,Barbara Alyn Woods,Martin Mull,Elena Sahagan,Michael James McDonald,Mystery,1991,,,,,,,,,,,0
Dances With Wolves,Kevin Costner,Jim Wilson,Orion Pictures,Dean Semler,Kevin Costner,Mary McDonnell,Graham Greene,Rodney A. Grant,"Floyd ""Red Crow"" Westerman",Drama,1990,,184010809.0,11400000.0,,Native-born,North America (US),US,,,,1
Danger Zone III: Steel Horse War,Douglas Bronco,Jason Williams,Danger Zone Company,Daniel Yarussi,Jason Williams,Bob Random,Barne Subkoski,Juanita Ranney,Rusty Cooper,Action,1990,,,,,,,,,,,0
Daredreamer,Barry Caillier,Pat Royce,Lensman Company,Chris Tufty,Tim Noah,Alyce LaTourelle,Adam Eastwood,Michael A Jackson,Billy Burke,Fantasy,1990,,,1000000.0,,,,,,,,1
Dark Rider,Bob Ivy,Bob Ivy,Action International Pictures,Mark W Gray,Joe Estevez,Alicia Kowalski,Cloyde Howard,Holly Floria,David Shark,Action,1991,,,,,,,,,,,0
Darkman,Sam Raimi,Robert Tapert,,Bill Pope,Liam Neeson,Frances McDormand,Colin Friels,Larry Drake,Nelson Mashita,Action,1990,,32821614.0,15000000.0,,Native-born,North America (US),US,,,,1
Days of Thunder,Tony Scott,Don Simpson,Paramount Pictures,Ward T Russell,Tom Cruise,Robert Duvall,Nicole Kidman,Randy Quaid,Cary Elwes,Action,1990,,80595202.0,59000000.0,60000000.0,Foreign-born,,,,,75000000.0,1
Dead Girls,Dennis Devine,Eugene James,,Regge Bulman,Diana Karanikas,Angela Eads,Kay Schaber,Angela Scaglione,Steven Kyle,Horror,1990,,,,,,,,,,,0
Dead Women in Lingerie,Erica Fox,Erica Fox,,John C Newby,John Romo,Maura Tierney,Jerry Orbach,Maria Strova,Dennis Christopher,Mystery,1990,,,,,,,,,,,0
Deadly Dancer,Kimberly Casey,Kimberly Casey,,Voya Mikulic,Smith Wordes,Walter W Cox,Steve Jonson,"Adolfo ""Shabba-Doo"" Quinones",Jeff Herbick,Action,1990,,,1500000.0,,,,,,,,0
Deadly Manor,Jose Ramon Larraz,Brian Smedley-Aston,,Tote Trenas,Jennifer Delora,Clark Tufts,Jerry Kernion,Liz Hitchler,Kathleen Patane,Horror,1990,,,,,,,,,,,0
Death Feud,Carl Monson,Mardi Rustam,,Jack Beckett,Frank Stallone,Christopher Mitchum,Karen Mayo-Chandler,Anthony Caruso,Gary Wood,Action,1990,,,,,,,,,,,0
Death Force,Frans Nel,Anant Singh,Distant Horizan,Paul Morkel,John Gilbert Barrett,Robin Smith,Kryska Witkowska,,,Action,1990,,,,,,,,,,,0
Death Warrant,Deran Sarafian,Mark DiSalle,MGM,Russell Carpenter),Jean-Claude van Damme,Cynthia Gibb,Robert Guillaume,George Dickerson,Art LaFleur,Action,1990,,15066139.0,5000000.0,,Native-born,North America (US),US,,,,0
Def By Temptation,James Bond III,James Bond III,,Ernest Dickerson,James Bond III,Cynthia Bond,Kadeem Hardison,Bill Nunn,John Canada Terrell,Comedy,1990,,,5000000.0,,,,,,,,0
Delta Force II,Aaron Norris,Yoram Globus,MGM,Joao Fernandes,Chuck Norris,Billy Drago,John P Ryan,Richard Jaeckel,Begona Plaza,Action,1990,,5854872.0,15000000.0,,,,,,,,1
Demon Wind,Charles Philip Moore,Michael Bennett,,Thomas L Callaway,,,,,,Horror,1990,,,,,,,,,,,0
Desert Snow,Paul M DeGruccio,Eugene Raffa,,Ronald L Walker,Steve Labatt,Carolyn Jacobs,Simo Maceo,Flint Carney,Shelley Hinkle,Crime,1990,,,,,,,,,,,0
Desperate Hours,Michael Cimino,Dino de Laurentiis,MGM,Douglas Milsome,,,,,,Adaptation,1990,,2624629.0,13000000.0,,,,,,,,0
Dick Tracy,Warren Beatty,Warren Beatty,Walt Disney,Vittorio Storaro,Warren Beatty,Charlie Korsmo,Glenne Headly,Madonna,Al Pacino,Action,1990,,103738726.0,41000000.0,47000000.0,Native-born,North America (US),US,Male,Caucasian,59000000.0,1
Die Hard 2: Die Harder,Renny Harlin,Lawrence Gordon,20th Century Fox,Oliver Wood,Bruce Willis,Bonnie Bedelia,William Atherton,Reginald Veljohnson),Franco Nero,Action,1990,,115288665.0,62000000.0,,Foreign-born,Europe,Finland,Male,Caucasian,,1
Diggin' Up Business,Mark Byers,Rick Eye,,Stephen Sheridan,Linnea Quigley,K C Winkler,Yvonne Craig,Gary Owens,Teri Weigel,Comedy,1990,,,1500000.0,,,,,,,,0
Diplomatic Immunity,Peter Maris,Peter Maris,Chuck Fries Productions,Gerald B Wolfe,Bruce Boxleitner,Billy Drago,Tom Breznahan,Christopher Neame,Fabiano Ubenio,Drama,1991,,,,,Native-born,North America (US),US,,,,0
Disturbed,Charles Winkler,Brad Wyman,International Video Entertainment,Bernd Heinl,Malcolm McDowell,Geoffrey Lewis,Priscilla Pointer,Pamela Gidley,Irwin Keyes,Thriller,1990,,,,,Native-born,North America (US),US,,,,1
Diving In,Strathford Hamilton,Martin Wiley,Skouras Pictures,Hanania Baer,Matt Adler,Kristy Swanson,Burt Young,Matt Lattanzi,Yolande Gilot,Comedy,1990,,,7000000.0,,,,,,,,0
Dog Tags,Romano Scavolino,Arthur Schweitzer,Cinevest Entertainment Group,John McCallum,Clive Wood,Baird Stafford,Robert Haufrecht,Mike Monty,Jericho Ondevilla,Action,1990,,,,,,,,,,,0
Domo Arigato,Arch Oboler,Arch Oboler,,Don Peterman,Bonnie Sher,Jason Ledger,Kyoko Masu,Jerry Kay,,Adventure,1990,,,,,,,,,,,0
Don't Tell Her It's Me,Malcolm Mowbray,Ron Hamady,Hemdale Releasing Corporation,Reed Smoot,Shelley Long,Steve Guttenberg,Jami Gertz,Kyle MacLachlan,Kevin Scannell,Comedy,1990,,1111035.0,8500000.0,,Foreign-born,,British ,,,,0
Double Vision,Terrence O'Hara,Jessica Rains,,Rohn Schmidt),Dru-Anne Cakmis,Anthony Jenkins,,,,Drama,1990,,,,,Native-born,North America (US),US,,,,0
Down the Drain,Robert C. Hughes,Ronnie Hadar,Epic Home Video,Jim Mathers,Andrew Stevens,John Matuszak,Joseph Campanella,Mickey Morton,Julian Burton,Action,1990,,,,,,,,,,,0
Downtown,Richard Benjamin,Charles H Maguire,20th Century Fox,Richard H. Kline,Anthony Edwards,Forest Whitaker,Penelope Ann Miller,Joe Pantoliano,David Clennon,Action,1990,,2205486.0,10000000.0,,,,,,,,1
Dragon Hunt,Charles Wiener,Michael McNamara,Shapiro/Glickenhaus Entertainment,Paul Dunlop,Martin McNamara,Michael McNamara,,,,Action,1990,,,,,,,,,,,0
Driven To Kill,John Gazarian,John Gazarian,,Bob Hayes,Jake Jacobs,Michele K McNeill,Chip Campbell,Darlene Landau,Jim J Poslof,Drama,1991,,,,,,,,,,,0
DuckTales: The Movie,Bob Hathcock,Bob Hathcock,Walt Disney,,,,,,,Adventure,1990,,18075331.0,20000000.0,,,,,,,,0
Eating,Henry Jaglom,Judith Wolinsky,Rainbow Film Company,Hanania Baer,Nelly Alard,Frances Bergen,Mary Crosby,Marlena Giovi,Marina Gregory,Comedy,1990,,,,,Foreign-born,Europe,United Kingdom,Male,,,0
Edward Scissorhands,Tim Burton,Tim Burton,20th Century Fox,Stefan Czapsky,Johnny Depp,Winona Ryder,Dianne Wiest,Anthony Michael Hall,Kathy Baker,Drama,1990,,54155571.0,22000000.0,20000000.0,Native-born,North America (US),US,Male,Caucasian,,1
"Elliot Fauman, Ph.D",Ric Klass,Ric Klass,Taurus Entertainment Company,Erich Roland,Randy Dreyfuss,Jean Kasem,Tamara Williams,Shelley Berman,John Canada Terrell,Comedy,1990,,,3000000.0,,,,,,,,0
Emperor of the Bronx,Joseph Merhi,Richard Pepin,,Richard Pepin,Alex D'Andrea,Leisha Sukary,William Smith,Anthony Gioia,Bob Gallo,Drama,1990,,,,,,,,,,,0
End of the Night,Keith McNally,,,Tom DiCillo,Eric Mitchell,Audrey Matson,Nathalie Devaux,Darroch Greer,Sam Bress,Drama,1991,,,,,,,,,,,0
Enrapture,Chuck Vincent,Kenneth Schwartz,,Chuck Vincent,Kevin Thomsen,Ona Simms,Harvey Siegel,Deborah Blaisdell,Richard Parnes,Thriller,1990,,,,,Native-born,North America (US),US,,,,0
Ernest Goes to Jail,John R Cherry III,Stacy Williams,Walt Disney,Peter Stein,Jim Varney,Gailard Sartain,Bill Byrge,Barry Scott,"Randall ""Tex"" Cobb",Adventure,1990,,25029569.0,9000000.0,,,,,,,,0
Escape,Richard Styles,G Monty Brinson,,Irl Dixon,Kim Richards,Kin Shriner,Judson Scott,Elizabeth Jeager,Kim Milford,Thriller,1990,,,,,,,,,,,0
Evil Spirits,Gary Graver,Sidney Niekerk,,Gary Graver,Karen Black,Michael Berryman,Arte Johnson,Virginia Mayo,Martine Beswick,Horror,1991,,,,,Native-born,North America (US),US,,,,0
Evil Toons,Fred Olen Ray,Victoria Till,,Gary Graver,David Carradine,Arte Johnson,Dick Miller,Monique Gabrielle,Stacey Nix,Drama,1991,,,,,Native-born,North America (US),US,Male,,,0
Extreme Winter,Don Brolin,Kurt Miller,,,,,,,,Other,1991,,,,,,,,,,,0
Eyes of An Angel,Robert Harmon,Michael Phillips,,Theo van de Sande,John Travolta,Ellie Raab,Tripoli,Tito Larriva,Richard Edson,Adventure,1991,,,,,Native-born,North America (US),US,,,,1
Face of the Enemy,Hassan Ildari,Bruce Gueramian,Tri-Culture Pictures,Peter Indergrand,George DiCenzo,Rosanna DeSoto,Cindy Cryer,Diane Hull,Al Shafran,Thriller,1990,,,,,,,,,,,0
False Identity,James Keach,James Shavick,RKO Pictures,Bernard Auroux,Stacy Keach,Genevieve Bujold,Tobin Bell,Veronica Cartwright,Mimi Maynard,Action,1990,,,2000000.0,,Native-born,North America (US),US,Male,Caucasian,,0
"Far Out, Man!",Tommy Chong,Lisa M. Hansen,Alliance Films,Eric Woster,Tommy Chong,Shelby Chong,Paris Chong,Reynaldo Rey,Al Mancini,Comedy,1990,,71400.0,1000000.0,,,,,,,,0
Fatal Skies,Thomas C Dugan,Peter Yuval,,Glenn Kershaw,George Kennedy,Timothy Leary,Michael Esposito,Veronica Carothers,Terry Burke,Action,1990,,,,,,,,,,,1
Final Cut,Frans Nel,Anant Singh,Distant Horizon Corporation,Paul Morkel,Matthew Stewardson,Michael Huff,,,,Thriller,1990,,,,,,,,,,,0
Fire Birds,David Green,Bill Badalato,Walt Disney,Tony Imi,Nicolas Cage,Tommy Lee Jones,Sean Young,Bryan Kestner,Dale Dye,Action,1990,,14760451.0,22000000.0,,,,,Male,,,1
Flashback,Franco Amurri,Marvin Worth,Paramount Pictures,Stefan Czapsky,Dennis Hopper,Kiefer Sutherland,Carol Kane,Cliff De Young,Richard Masur,Action,1990,,5993050.0,12000000.0,,Foreign-born,,Italian,,,,1
Flatliners,Joel Schumacher,Michael Douglas,Sony Pictures,Jan de Bont,Kiefer Sutherland,Julia Roberts,William Baldwin,Kevin Bacon,Oliver Platt,Drama,1990,,58699450.0,17000000.0,26000000.0,Native-born,North America (US),US,,,,1
Force of Circumstance,Liza Bear,Liza Bear,Upfront Films,Zoran Hochstatter,Borbola Major,Jessica Stutchbury,Tom Wright,Eric Mitchell,Glenn O'Brien,Comedy,1990,,,,,,,,,,,0
Frankenhooker,Frank Henenlotter,Edgar Ievins,Shapiro/Glickenhaus Entertainment,Robert M Baldwin,James Lorinz,Patty Mullen,Louise Lasser,Charlotte Heimkamp,Joseph Gonzalez,Comedy,1990,,,1500000.0,,Native-born,North America (US),US,,,,0
Franky and His Pals,Gerald Cormier,Gerald Cormier,,Jim Myers,Eric Weathersbee,Jerry Cormier Jr.,Keith Lack,Wilson Smith,Richard Sumner,Comedy,1991,,,,,,,,,,,0
Full Fathom Five,Carl Franklin,Luis Llosa,Concorde Productions,Philip Granger,Michael Moriarty,Maria Rangel,Diego Bertie,German Gonzales,Daniel Faraldo,Thriller,1990,,,5000000.0,,,,,,,,0
Full Moon in New York,Stanley Kwan Kam-Pang,Frank Chang,Grand Essex Enterprises,Bill Wong,Sylvia Chang,Maggie Cheung,Sichingowa,,,Drama,1990,,,900000.0,,,,,,,,0
Fun Down There,Roger Stigliano,Roger Stigliano,Frameline Distribution,Peggy Ahwesh,Michael Waite,Nickolas B Nagurney,Martin Goldin,Jeanne Sobkowski,Gretschen Somerville,Comedy,1990,,,43000.0,,,,,,,,0
Funny About Love,Leonard Nimoy,Jon Avnet,Paramount Pictures,Fred Murphy,Gene Wilder,Christine Lahti,Mary Stuart Masterson,Robert Prosky,Stephen Tobolowsky,Comedy,1990,,7649688.0,16500000.0,,Native-born,North America (US),US,,,,1
Genuine Risk,Kurt Voss,Larry Rattner,IRS Releasing,Dean Lent,Terence Stamp,Peter Berg,Michelle Johnson,M K Harris,Sid Haig,Drama,1990,,,,,Native-born,North America (US),US,,,,0
Getting Lucky,Michael Paul Girard,Philip J Jones,,Gerald M Williams,Steven Cooke,Lezlie Z McCraw,Rick McDowell,Jean Stewart,Dick Monda,Comedy,1990,,,,,,,,,,,0
Ghost,Jerry Zucker,Lisa Weinstein,Paramount Pictures,Adam Greenberg,Patrick Swayze,Demi Moore,Whoopi Goldberg,Tony Goldwyn,Stanley Lawrence,Drama,1990,,214288325.0,24000000.0,22000000.0,Native-born,North America (US),US,,,299968694.0,1
Ghost Dad,Sidney Poitier,Terry D Nelson,Universal,Andrew Laszlo,Bill Cosby,Denise Nicholas,Kimberly Russell,Ian Bannen,Christine Ebersole,Comedy,1990,,20876910.0,20000000.0,,Native-born,North America (US),US,,,,0
Ghosts Can't Do It,John Derek,John Derek,Triumph Releasing,John Derek,Bo Derek,Anthony Quinn,Leo Damian,Don Murray,Julie Newmar,Comedy,1990,,,3000000.0,,,,,,,,1
Going Under,Mark W Travis,Fred T Gallo,,Victor Hammer,Bill Pullman,Ned Beatty,Robert Vaughn,Roddy McDowall,Wendy Schaal,Comedy,1991,,,,500000.0,,,,,,,1
Goodfellas,Martin Scorsese,Irwin Winkler,Warner Bros.,Michael Ballhaus,Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,Paul Sorvino,Crime,1990,,42613326.0,29100000.0,25000000.0,Native-born,North America (US),US,Male,Caucasian,33538.0,1
Graffiti Bridge,Prince,Arnold Stiefel,,Bill Butler,Prince,Ingrid Chavez,Morris Day,Jerome Benton,Michael Bland,Musical,1990,,4217937.0,15000000.0,,,,,,,,0
Green Card,Peter Weir,Peter Weir,,Geoffrey Simpson,Gérard Depardieu,Andie MacDowell,Gregg Edelman,Bebe Neuwirth,Robert Prosky,Comedy,1990,,29754169.0,12000000.0,,Foreign-born,,Australian ,,,,1
Gremlins 2: The New Batch,Joe Dante,Michael Finnell,,John Hora,Zach Galligan,Phoebe Cates,John Glover,Robert Prosky,Robert Picardo,Comedy,1990,,40492973.0,32000000.0,50000000.0,Native-born,North America (US),US,Male,Caucasian,,0
Grim Prairie Tales,Wayne Coe,Richard Hahn,Coe-Hahn Releasing,Janusz Kaminski,James Earl Jones,Brad Dourif,William Atherton,Lisa Eichhorn,Mark McClure,Other,1990,,,750000.0,,,,,,,,0
Gross Out,Janus Alucard Stelloff,,Aquarius Releasing,Joseph Bado,Dino Lee,Frank Fears,Susie Campbell,Diane Nelson,Spike Li,Comedy,1990,,,25000.0,,,,,,,,0
Guns,Andy Sidaris,Arlene Sidaris,Malibu Bay Films,Howard Wexler,Erik Estrada,Dona Speir,Roberta Vasquez,Bruce Penhall,Cynthia Brimhall,Action,1990,,,,,,,,,,,0
Happy Together,Mel Damski,Jere Henshaw,Borde Releasing Corporation,Joe Pennella,Patrick Dempsey,Helen Slater,Dan Schneider,Kevin Hardesty,Marius Weyers,Comedy,1990,,,,,,,,,,,0
Hard Act to Follow,Issam B. Makdissy,Terry Eubanks,,Emiko Omori,Kent Minault,Deborah Mosca,Rafik Assad,J J Johnson,Shanda Sawyer,Drama,1990,,,,,,,,Male,,,0
Hard to Kill,Bruce Malmuth,Bill Todman Jr.,,Matthew Leonetti,Steven Seagal,Kelly LeBrock,William Sadler,Fred Coffin,Bonnie Burroughs,Action,1990,,46607114.0,10000000.0,,Native-born,North America (US),US,,,,0
Hardware,Richard Stanley,Paul Trijbits,Miramax,Steve Chivers,Dylan McDermott,Stacey Travis,John Lynch,William Hootkins,Iggy Pop),Horror,1990,,5100000.0,1800000.0,,Foreign-born,,South African,,,,0
Havana,Sydney Pollack,Sydney Pollack,Universal,Owen Roizman,Robert Redford,Lena Olin,Alan Arkin,Raul Julia,Tomas Milian,Drama,1990,,8790749.0,40000000.0,,Native-born,North America (US),US,,,,1
Heart Condition,Jim Parriott,Steve Tisch,Alliance Films,Arthur Albert,Bob Hoskins,Denzel Washington,Chloe Webb,Ja'Net DuBois,Ron Taylor,Action,1990,,4134992.0,10000000.0,,,,,,,,1
Heaven Is a Playground,Randall Fried,Keith Bank,,Tom Richmond,D.B. Sweeney,Michael Warren,Richard Jordan,Victor Love,Bo Kimble,Drama,1991,,,2600000.0,,,,,,,,0
Henry & June,Phil Kaufman,Peter Kaufman,Universal,Philippe Rousselot,Fred Ward,Uma Thurman,Maria De Medeiros,Richard E. Grant,Kevin Spacey,Biopic,1990,,11003353.0,9000000.0,,Native-born,North America (US),US,,,12400000.0,1
Henry: Portrait of A Serial Killer,John McNaughton,John McNaughton,Greycat Films,Charlie Lieberman,Michael Rooker,Tom Towles,Tracy Arnold,Mary Demas,Anne Bartoletti,Crime,1990,,,111000.0,,Native-born,North America (US),US,Male,Caucasian,,1
Hippy Porn,Jon Moritsugu,Jon Moritsugu,Strand Releasing,Jacques Boyreau,Victor E of Aquitane,Elizabeth Canning,Marek Waldorf,,,Comedy,1991,,,,,Native-born,North America (US),US,,,,0
Hired to Kill,Nico Mastorakis,Isabelle Mastorakis,,Andreas Bellis,Brian Thompson,Oliver Reed,Jose Ferrer,George Kennedy,Michelle Moffett,Action,1990,,,6800000.0,,Foreign-born,,Greek,,,,1
Hollywood Heartbreak,Lance Dickson,Herman C Grigsby,,Gerald B Wolfe,Mark Moses,Carol Mayo Jenkins,James LeGros,Richard Romanus,Harry Landers,Comedy,1990,,,,,,,,,,,0
Hollywood Hot Tubs 2: Educating Crystal,Ken Raich,Mark Borde,,Areni Milo,Jewel Shepard,Patrick Day,David Tiefen,Remy O'Neill,J.P. Bumstead,Other,1990,,,,,,,,,,,0
Hollywood Mavericks,,,Roxie Releasing,,,,,,,Documentary,1990,,,2000000.0,,,,,,,,0
Home Alone,Chris Columbus,John Hughes,RLJ Entertainment,Julio Macat,Macaulay Culkin,Joe Pesci,Daniel Stern,John Heard,Roberts Blossom,Comedy,1990,,281493907.0,17500000.0,15000000.0,Native-born,North America (US),US,Male,Caucasian,190923432.0,1
Home Less Home,Bill Brand,Bill Brand,Tara Releasing,Zoe Beloff,Eric Booker,William Farrior,Maria Fernandez,Ronald Banes,Anthony Rose,Documentary,1990,,,,,,,,,,,0
Honeymoon Academy,Gene Quintano,Tony Anthony,Triumph Releasing,John Cabrera,Kim Cattrall,Robert Hays,Leigh Taylor-Young,Jonathan Bank,Christopher Lee,Adventure,1990,,45320.0,8000000.0,,Native-born,North America (US),US,,,,1
Honor Bound,Jeannot Szwarc,Eric Weymueller,,Robert M Stevens,John Philbin,Gabrielle Lazure,Tom Skerritt,George Dzundza,Lawrence Pressman,Action,1990,,,13000000.0,,Native-born,North America (US),US,,,,0
House Party,Reginald Hudlin,Warrington Hudlin,Alliance Films,Peter Deming,"Christopher ""Kid"" Reid",Christopher Martin,Tisha Campbell-Martin,A.J. Johnson,Martin Lawrence,Comedy,1990,,26381219.0,2600000.0,,Native-born,North America (US),US,Male,Black or African American,,1
I Come in Peace,Craig R. Baxley,Jeff Young,Triumph Releasing,Mark Irwin),Dolph Lundgren,Betsy Brantley,Markham,Froggatt & Irwin ),Brian Benben,Sci-Fi,1990,,3970117.0,12000000.0,,,,,,,,0
I Love You to Death,Lawrence Kasdan,Jeffrey Lurie,TriStar Pictures,Owen Roizman,,,,,,Comedy,1990,,14897031.0,12000000.0,,Native-born,North America (US),US,,,,0
Impulse,Sondra Locke,Albert S Ruddy,,Dean Semler,Theresa Russell,Jeff Fahey,George Dzundza,Alan Rosenberg,Nicholas Mele,Thriller,1990,,1442350.0,,,,,,,,,0
In the Blood,George Butler,George Butler,Endless Grass Sea,Dyanna Taylor,Makanyanga Mutio,Labosa Kipkenoi Sura,,,,Adventure,1990,,,,,Foreign-born,,,,,,0
In the Cold of the Night,Nico Mastorakis,Nico Mastorakis,,Andreas Bellis,Jeff Lester,Adrianne Sachs,Marc Singer),Brian Thompson,Shannon Tweed,Thriller,1991,,,2000000.0,,Foreign-born,,Greek,,,,0
In the Spirit,Sandra Seacat,Julian Schlossberg,Castle Hill Productions,Dick Quinlan,Phillip Schopper,Jeannie Berlin,Marlo Thomas,Elaine May,Olympia Dukakis,Comedy,1990,,15904.0,6000000.0,,,,,,,,1
Inheritor,Brian Kendal-Savegar,Christopher Webster,,Joseph Friedman,Lisa McGuire,Barnaby Spring,Dan Haggerty,Daniel Stephen,John A Russo,Horror,1990,,,,,,,,,,,0
Inner Sanctum,Fred Olen Ray,Alan Amiel,,Michael Delahoussaye,Tanya Roberts,Margaux Hemingway,Joseph Bottoms,Valerie Wildman,William Clark Butler,Thriller,1991,,,4000000.0,,Native-born,North America (US),US,Male,,,0
Instant Karma,Roderick Taylor,"Dale ""Chip"" Rosenbloom",MGM,Thomas Jewett,Craig Sheffer,Annette Sinclair,Orson Bean,Hedy Lamarr,Alan Blumenfeld,Comedy,1990,,12047.0,1600000.0,,Native-born,North America (US),US,,,,0
Internal Affairs,Mike Figgis,Frank Mancuso Jr.,Paramount Pictures,John Alonzo,Richard Gere,Andy Garcia,Nancy Travis,Laurie Metcalf,Richard Bradford,Drama,1990,,25782425.0,16000000.0,,Foreign-born,Africa,Kenya,Male,Caucasian,128026.0,1
Intervals of Silence: Being Jewish in Germany,Deborah Lefkowitz,Deborah Lefkowitz,,,,,,,,Documentary,1990,,,,,,,,,,,0
Invasion Force,David A Prior,David Marriott,,Andrew Parker,Richard Lynch,Renee Cline,Walter Lox,Doug Harter,,Action,1990,,,,,,,,,,,0
